"OBJECTID","TABLE_NAME","FK_TABLE_ID","DISCUSSION","LOGGED_BY","LOG_DATE","CREATED_USER","CREATED_DATE","LAST_EDITED_USER","LAST_EDITED_DATE","ACTIVE","RESPONSIBLE_POC","POC_REVIEW_DATE"
24,"RISK_REGISTER","TR-7","Upload from spreadsheet:  PDT Discussions and Conclusions: New 6x6 culvert….proper space to fit within the existing lock structure?  Additional valve to force water through these valves, sequencing of valves, four valves needed to isolate the ports.; PDT Discussion on Likelihood and Impact: could prevent flushing from being feasible from the large upstream port which could result in less than desired efficiency.; Risk Managment Discussion: Structures completed analysis and found there is space to construct what is needed","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
30,"RISK_REGISTER","TR-11","Upload from spreadsheet:  PDT Discussions and Conclusions: don't have RDB, then additional look at permitting, hydraulics, cost of handling, method for control building would need to be altered if not placed on rock fill, utility access to LDB if have to build there, power to the facility, build cross over?; PDT Discussion on Likelihood and Impact: At some point need to begin pursuing LDB option, hydrologic investigations of that LDB site etc. if RDB not available; set a ""go, no go"" date of January 2022 with the assumption HTRW phase 2 samples will have been obtained and analyzed by that date;; Risk Managment Discussion: Obtain and analyze phase 2 HTRW samples","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
49,"RISK_REGISTER","TR-1C","Upload from spreadsheet:  PDT Discussions and Conclusions: We'll want enough modeling to have a definitive path forward to complete design, we may be changing operational requirements for dam operation if a flushing lock is incorporated.  If we don't have remote operations of the dam now, does this require a separate process?; PDT Discussion on Likelihood and Impact: We need modeling to complete design of the flushing lock; If we adopt a flushing lock procedure, we will need to mitigate water usage through the lock so we are not passing extra water over the dam.; Risk Managment Discussion: Have regular communication with ERDC to set milestones and to ensure delivery of the physical model construction and delivery of the results.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
54,"RISK_REGISTER","TR-18","Upload from spreadsheet:  PDT Discussions and Conclusions: Information from LRC available, but still a lot of unknown regarding conductivity and resistivity to limit stray current, proximity to existing infrastructure, safety considerations, on off uses, amount of time off vs on related to # of lockage's, power availability, anode corrosion, O&M costs, reliability data LRC is working on to develop efficacy levels, level of performance, system level of performance, proprietorship of technology,  potential use of vertical design in lieu of bottom up methodology, We need to make sure the research into what levels of electrical current are needed to deter fish of all sizes are taken into consideration. Existing design does not allow for fast and recurring on and off procedures.; PDT Discussion on Likelihood and Impact: Coast Guard regulations and safety protocol may be more than Romeoville. The Coast Guard has indicated that they are open to considering a different protocol at this location. Likelihood of schedule impact to the schedule due to the delay of R&D availability. O&M contributes to the overall costs.; Risk Managment Discussion: Conducting stray current electrical modeling with CRREL.. Others to determine the potential range of stray currents, continued R&D, explore opportunities for solutions. Design is intended to have flexibility for voltage per inch. Design will have to have specific start up and shut down procdures to allow for rapid on and off operation.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
57,"RISK_REGISTER","TR-13","Upload from spreadsheet:  PDT Discussions and Conclusions: {{Scopes of work being finalized for physical model, anticipate model completion within 18 months?  Modeling data will provide…., should include consideration of channel depth for vessel departure.; do not want to create a habitat for fish at approach channel ahead of barriers;  angled barrier(s) at the entrance (peninsula pulled back);}}  7/12/2021 ERDC has initiated building models; PDT Discussion on Likelihood and Impact: Scopes of work being finalized for physical model, anticipate model completion within 18 months?  Modeling data will provide…., should include consideration of channel depth for vessel departure.  Opportunity to improve navigation conditions better than what it is now; Risk Managment Discussion: Physical modeling of engineered channel and downstream channel approach; AISAP data tracking of navigation vessels (travel paths);","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
25,"RISK_REGISTER","TR-9a","As the number of speakers increase, so will the construction and maintenance cost. Strive for modular design; redundancy.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.00.000000000 PM,"","Mark Cornish",30-JUL-21 12.00.00.000000000 AM
52,"RISK_REGISTER","TR-9h","Ambient noise of the bridge could interfere with the acoustic deterrent.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.00.000000000 PM,"","Mark Cornish",30-JUL-21 12.00.00.000000000 AM
26,"RISK_REGISTER","TR-9c","Acoustic barrier can potentially resonate in the empty barges due to hollow hulls creating nuisance.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.00.000000000 PM,"","Mark Cornish",30-JUL-21 12.00.00.000000000 AM
1923,"RISK_REGISTER","TR-9c","The team proposed sound interaction R&D activity but will not be doing any R&D due to lack of funding in FY22/23. The team will continue to look for opportunities for Corps vessels for low cost alternatives.","","","",,"",,"","Andy Leichty",04-OCT-21 12.00.00.000000000 AM
27,"RISK_REGISTER","TR-9d","Single source production rate is very limited; sole source procurement required.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.00.000000000 PM,"","Kirk Sunderman",30-JUL-21 12.00.00.000000000 AM
