"OBJECTID","RISK_NO","RISKCATEGORY","FEATURE","DISCIPLINE","RISK_OPPORTUNITY_EVENT","CONCERNS","PDT_DISC_CONC","PDT_DISC_LIKELI_IMPACT","PDT_DISC_RISK_MANAG_STRATEGY","ACTION_ITEMS","RISK_STRATEGY","COST_LIKELIHOOD","COST_IMPACT","CONDITIONAL_FORMATTING","CONDITIONAL_FORMATTING2","CONDITIONAL_FORMATTING3","COST_RISK","COST_IMPACT_PER_PROJECT","SCHEDULE_LIKELIHOOD","SCHEDULE_IMPACT","SCHEDULE_RISK","SCHEDULE_IMPACT_PER_PROJECT","EFFICACY_IMPACT","EFFICACY_LIKELIHOOD","EFFICACY_RISK","TECHNICAL_POC","POC_REVIEW_DATE","TIMING_OF_DELAY","LESSONS_LEARNED","START_DATE","END_DATE","ACTIVE","TREND","IMPACT","OUTCOME","OWNER","MANAGEMENT_STATUS","FK_TABLE_ID","ENG_LEVEL","LEVEL_DATE","LAST_EDITED_DATE"
676,"TR-11","TECHNICAL RISKS","All","","If we don't have NRG property for Construction Staging Sites, rock placement","RDB is designated spot for all rock spoils, would double handle or haul away driving cost, staging area may be impacted based on availability of NRG property","don't have RDB, then additional look at permitting, hydraulics, cost of handling, method for control building would need to be altered if not placed on rock fill, utility access to LDB if have to build there, power to the facility, build cross over?","At some point need to begin pursuing LDB option, hydrologic investigations of that LDB site etc. if RDB not available; set a ""go, no go"" date of January 2022 with the assumption HTRW phase 2 samples will have been obtained and analyzed by that date;","Obtain and analyze phase 2 HTRW samples","Complete Design Charrettes, and preliminary design, and sampling for HTRW","Accept & Mitigate","Likely","Significant","Red","Red","Transparent","High","$24-$56 Million","Likely","Significant","High","9.6-19.2 months","","","","John Behrens",,"Both","",,,"No","","","","","Open","TR-11","Level 1",19-JUL-21 01.32.41.000000000 PM,10-DEC-21 07.14.22.000000000 PM
994,"TR-6h","TECHNICAL RISKS","Support Facilities","","Support Facilities","Utilities, Footprint, Operations, Location (RDB vs LDB)","Right sizing it for incremental construction; operations resources; foundation system given site may be capped if HTRW is present; future expandability for future technologies; We may not be able to get HTRW information in time to meet 2024 construction schedule; Reason for the schedule risk is due to impacts to construction methods that may be required to construct on the peninsula.","The location could jeopardize overall project costs if we use LDB for construction","ROE to NRG to explore and sample ground; dialog with utility companies;  identify the closest source of power for delivery to site; Engineering Charrette (operations); get more permanent RE for future expansion if needed; creation of utility corridors/duct banks; investigating the possibility to construct on the LDB","Complete Design Charrettes, and preliminary design, and sampling for HTRW, vet facilities against Romeoville layout","Accept & Mitigate","Likely","Significant","Red","Red","Transparent","High","$24-$56 Million","Very Likely","Significant","High","9.6-19.2 months","","","","John Behrens",,"Both","",,,"No","","","","","Open","TR-6h","Level 1",19-JUL-21 01.32.30.000000000 PM,10-DEC-21 07.14.22.000000000 PM
1001,"TR-18","TECHNICAL RISKS","Electric Dispersal Barrier","","Electric Barrier Deterrent","Stray currents impacts on existing infrastructure, design of concepts, channel depths, etc.… Coast Guard provides final operating parameters after implementation, need stray current modeling as soon as possible, continue to be a risk because we can't catch up to other features dependent on this research, EC design to control stray currents, ensure public safety, ERDC research for levels of electrical current may not be concluded in time for design","Information from LRC available, but still a lot of unknown regarding conductivity and resistivity to limit stray current, proximity to existing infrastructure, safety considerations, on off uses, amount of time off vs on related to # of lockage's, power availability, anode corrosion, O&M costs, reliability data LRC is working on to develop efficacy levels, level of performance, system level of performance, proprietorship of technology,  potential use of vertical design in lieu of bottom up methodology, We need to make sure the research into what levels of electrical current are needed to deter fish of all sizes are taken into consideration. Existing design does not allow for fast and recurring on and off procedures.","Coast Guard regulations and safety protocol may be more than Romeoville. The Coast Guard has indicated that they are open to considering a different protocol at this location. Likelihood of schedule impact to the schedule due to the delay of R&D availability. O&M contributes to the overall costs.","Conducting stray current electrical modeling with CRREL.. Others to determine the potential range of stray currents, continued R&D, explore opportunities for solutions. Design is intended to have flexibility for voltage per inch. Design will have to have specific start up and shut down procdures to allow for rapid on and off operation.","Finish R&D, Design Charrettes, and preliminary design","Accept & Mitigate","Likely","Marginal","Orange","Green","Transparent","Moderate","$4-$24 Million","Unlikely","Marginal","Low","4.8-9.6 months","","","","Kirk Sunderman",,"Both","",,,"No","","","","","Open","TR-18","Level 1",19-JUL-21 01.32.43.000000000 PM,10-DEC-21 07.14.22.000000000 PM
1005,"TR-13","OPPORTUNITIES","Engineering Channel","","Downstream Approach Conditions below Engineered Channel","Entrance and approach conditions to asses potential improvements and efficiencies to asses the impacts of changes.  Impact of generation cooling water intake; Impact of main channel flows coming down from the dam","{{Scopes of work being finalized for physical model, anticipate model completion within 18 months?  Modeling data will provide…., should include consideration of channel depth for vessel departure.; do not want to create a habitat for fish at approach channel ahead of barriers;  angled barrier(s) at the entrance (peninsula pulled back);}}  7/12/2021 ERDC has initiated building models","Scopes of work being finalized for physical model, anticipate model completion within 18 months?  Modeling data will provide…., should include consideration of channel depth for vessel departure.  Opportunity to improve navigation conditions better than what it is now","Physical modeling of engineered channel and downstream channel approach; AISAP data tracking of navigation vessels (travel paths);","7/15 modeling is underway; continue weekly meetings with ERDC; follow up with AIS data areas","","Unlikely","Negligible","Green","Transparent","Transparent","Low","$0-$4 Million","","","","","","","","",,"","",,,"No","","","","","Open","TR-13","Level 1",19-JUL-21 09.52.55.000000000 AM,10-DEC-21 07.14.22.000000000 PM
1604,"CA-1","CONTRACT ACQUISITION RISKS","Administrative","Project Management","Acquisition Strategy","All contracts are assumed to be unrestricted (full and open). If this assumption is incorrect, costs will be higher.","","","","The team's strategy is to have good information for the board. Acquisition strategy board meeting will take place between 35% and 65% design.","Accept & Mitigate","Unlikely","Significant","Orange","Green","Green","Moderate","$24-$56 Million","Very Unlikely","Marginal","Low","4.8-9.6 months","Marginal","Unlikely","Low","Andy Leichty",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",03-JUL-23 12.00.00.000000000 AM,29-SEP-24 12.00.00.000000000 AM,"Yes","Stable","Potentially less bidders or we'd have a higher price (8A).","","Andy Leichty","Open","CA-1","Level 1",02-SEP-21 03.05.57.000000000 PM,14-DEC-21 08.32.00.000000000 AM
1606,"CA-2","CONTRACT ACQUISITION RISKS","Administrative","Project Management","Deliverability","Systems need to be packaged to meet their intended functions so that warranties can be enforced.","","","","The team needs to stay aware of the current on technologies, details related to technology material, non-standard specifications, sole source specification.","Accept & Mitigate","Likely","Marginal","Orange","Green","Orange","Moderate","$4-$24 Million","Very Unlikely","Negligible","Low","0-4.8 months","Marginal","Likely","Moderate","Kirk Sunderman",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",03-JUL-23 12.00.00.000000000 AM,29-SEP-24 12.00.00.000000000 AM,"Yes","Stable","Actions we're taking include experimental technologies. It may void normal warranties. Ground current and speakers have a higher risk to void warranties.","","Kirk Sunderman","Open","CA-2","Level 1",03-SEP-21 12.00.00.000000000 AM,14-DEC-21 08.40.00.000000000 AM
1608,"CA-3","CONTRACT ACQUISITION RISKS","Administrative","Project Management","Multiple Contracts","Larger contracts may be broken into multiple contracts.","","","","Keep HQ informed on the needs of the project for efficient execution.","Accept","Likely","Crisis","Red","Red","Orange","High","$120 Million +","Very Likely","Critical","High","19.2-38.4 months","Marginal","Likely","Moderate","Andy Leichty",01-JUL-21 12.00.00.000000000 AM,"Prior/During Construction","",03-JUL-23 12.00.00.000000000 AM,29-SEP-24 12.00.00.000000000 AM,"Yes","Stable","Funding, RE, permits, navigation impacts, all could result in needing to downsize larger contracts.","","Marisa Lack and Andy Leichty","Open","CA-3","Level 1",22-JUL-21 12.00.00.000000000 AM,14-DEC-21 08.42.00.000000000 AM
1609,"CA-4","CONTRACT ACQUISITION RISKS","Administrative","Project Management","Contract Type","The type of contract, Design/Build or Design/Bid/Build, can affect timeline and cost.","","","","Keep HQ informed on the needs of the project for efficient execution.","Accept","Unlikely","Significant","Orange","Green","Green","Moderate","$24-$56 Million","Unlikely","Negligible","Low","0-4.8 months","Marginal","Unlikely","Low","Andy Leichty",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",03-JUL-23 12.00.00.000000000 AM,29-SEP-24 12.00.00.000000000 AM,"Yes","Stable","Direction from higher authority to execute funds sooner or reduce risk. The impact includes design/build could be faster but at a risk to not achieve goals.","","Andy Leichty","Open","CA-4","Level 1",22-JUL-21 12.00.00.000000000 AM,14-DEC-21 08.48.00.000000000 AM
1610,"CA-5","CONTRACT ACQUISITION RISKS","Administrative","Project Management","AE Design Contract","AE would not have capacity or execute in time","","","","Continue to monitor capacities. Upper 3 districts continue to get new IDIQ contract capacity in place geared towards major navigation design capabilities. Develop workload to workforce capabilities. MVR is developing AE IDIQ strategy.","Accept & Mitigate","Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Marginal","Unlikely","Low","Kirk Sunderman",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",03-JUL-23 12.00.00.000000000 AM,29-SEP-24 12.00.00.000000000 AM,"Yes","Stable","There's national capacity but could negatively be affected by a stimulus package.","","Kirk Sunderman","Open","CA-5","Level 1",22-JUL-21 12.00.00.000000000 AM,14-DEC-21 08.53.00.000000000 AM
1605,"PPM-2","PROJECT & PROGRAM MGMT","Administrative","Project Management","Funding Availability","Lack of efficient funding in PED could delay design.","","","","Continue to requesting funding need and communicate importance of the project and execute the funds we have.","Accept & Transfer","Likely","Marginal","Orange","Green","Green","Moderate","$4-$24 Million","Unlikely","Negligible","Low","0-4.8 months","Marginal","Unlikely","Low","Andy Leichty",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",02-AUG-21 12.00.00.000000000 AM,03-OCT-22 12.00.00.000000000 AM,"Yes","Stable","Expect to receive necessary funds for year 3 to complete design. If not, schedule would slip and construction contract may not be awarded in the targeted FY of 2024.","","Andy Leichty","Open","PPM-2","Level 1",02-SEP-21 12.00.00.000000000 AM,14-DEC-21 09.17.00.000000000 AM
